date;open;high;low;close;volume;ticker;30d_ma;90d_ma
26.02.2024;16014.45;16054.9;15973.9;15976.25;5417630000.0;NASDAQ Composite;15559.301666666666;14596.39488888889
27.02.2024;16013.98;16046.1;15940.51;16035.3;5423020000.0;NASDAQ Composite;15594.719666666666;14624.18988888889
28.02.2024;15969.14;16003.56;15924.72;15947.74;5581690000.0;NASDAQ Composite;15628.166;14653.450333333334
29.02.2024;16059.34;16115.96;15931.7;16091.92;6265340000.0;NASDAQ Composite;15669.376;14685.736333333334
01.03.2024;16109.83;16302.24;16096.6;16274.94;5457910000.0;NASDAQ Composite;15710.019;14722.304444444444
04.03.2024;16264.21;16289.06;16199.06;16207.51;5725470000.0;NASDAQ Composite;15739.903666666669;14757.739777777779
05.03.2024;16077.74;16087.57;15862.63;15939.59;6356800000.0;NASDAQ Composite;15759.213666666667;14788.847777777779
06.03.2024;16092.0;16128.56;15956.66;16031.54;5511370000.0;NASDAQ Composite;15779.400333333333;14824.518000000002
07.03.2024;16147.32;16309.02;16096.01;16273.38;5072790000.0;NASDAQ Composite;15805.782333333333;14865.38211111111
08.03.2024;16322.1;16449.7;16059.5;16085.11;5411790000.0;NASDAQ Composite;15824.936;14903.627666666667
11.03.2024;16052.63;16085.95;15978.04;16019.27;4917620000.0;NASDAQ Composite;15843.733;14939.514222222222
12.03.2024;16116.98;16275.45;15992.98;16265.64;5100330000.0;NASDAQ Composite;15864.986333333332;14977.452
13.03.2024;16220.11;16233.3;16143.34;16177.77;4839000000.0;NASDAQ Composite;15887.248666666668;15012.077555555556
14.03.2024;16209.19;16245.32;16039.68;16128.53;5450980000.0;NASDAQ Composite;15919.399333333333;15043.570222222223
15.03.2024;16043.58;16055.33;15925.91;15973.17;8261950000.0;NASDAQ Composite;15939.783666666666;15071.291222222222
18.03.2024;16154.92;16247.59;16094.17;16103.45;5025040000.0;NASDAQ Composite;15955.600333333332;15100.009777777777
19.03.2024;16031.93;16175.59;15951.86;16166.79;4758740000.0;NASDAQ Composite;15974.570666666667;15128.086777777778
20.03.2024;16185.76;16377.44;16127.48;16369.41;5298380000.0;NASDAQ Composite;15999.917666666666;15158.29788888889
21.03.2024;16517.24;16538.86;16393.9;16401.84;5134740000.0;NASDAQ Composite;16021.424333333334;15190.302222222223
22.03.2024;16387.83;16467.62;16361.0;16428.82;4339930000.0;NASDAQ Composite;16042.594666666668;15219.532333333333
25.03.2024;16335.3;16441.17;16315.72;16384.47;4636940000.0;NASDAQ Composite;16055.721666666668;15248.60711111111
26.03.2024;16446.85;16476.38;16312.95;16315.7;5144260000.0;NASDAQ Composite;16068.16;15273.288444444444
27.03.2024;16424.76;16431.82;16279.17;16399.52;4768930000.0;NASDAQ Composite;16092.957333333334;15298.795999999998
28.03.2024;16377.23;16420.92;16347.38;16379.46;5174450000.0;NASDAQ Composite;16110.301;15323.971444444443
01.04.2024;16397.05;16490.65;16327.89;16396.83;4798390000.0;NASDAQ Composite;16126.656333333334;15349.208666666667
02.04.2024;16199.24;16251.41;16137.24;16240.45;4710280000.0;NASDAQ Composite;16142.149666666666;15370.941111111111
03.04.2024;16178.8;16340.74;16169.31;16277.46;5151500000.0;NASDAQ Composite;16163.705666666667;15394.024222222222
04.04.2024;16418.57;16468.04;16046.56;16049.08;5368700000.0;NASDAQ Composite;16179.312666666667;15413.837777777777
05.04.2024;16095.4;16326.5;16080.48;16248.52;4578130000.0;NASDAQ Composite;16186.209333333334;15436.034111111112
08.04.2024;16285.18;16323.6;16220.72;16253.96;4386700000.0;NASDAQ Composite;16194.780666666666;15458.400111111112
09.04.2024;16328.76;16348.18;16141.15;16306.64;4869190000.0;NASDAQ Composite;16205.793666666666;15480.898777777778
10.04.2024;16104.01;16200.1;16092.02;16170.36;5308250000.0;NASDAQ Composite;16210.295666666667;15502.141777777779
11.04.2024;16236.2;16464.6;16154.65;16442.2;4714750000.0;NASDAQ Composite;16226.777666666667;15526.763777777778
12.04.2024;16293.03;16341.46;16125.33;16175.09;4552740000.0;NASDAQ Composite;16229.55;15547.542222222222
15.04.2024;16276.47;16295.27;15863.88;15885.02;4910550000.0;NASDAQ Composite;16216.552666666665;15566.425888888889
16.04.2024;15856.38;15965.79;15822.02;15865.25;5001860000.0;NASDAQ Composite;16205.143999999998;15584.596333333333
17.04.2024;15942.29;15957.03;15654.51;15683.37;4991470000.0;NASDAQ Composite;16196.603333333334;15601.670333333332
18.04.2024;15705.69;15786.12;15587.5;15601.5;4932540000.0;NASDAQ Composite;16182.268666666669;15615.687111111109
19.04.2024;15547.1;15576.7;15222.78;15282.01;5316010000.0;NASDAQ Composite;16149.223;15625.44311111111
22.04.2024;15396.13;15539.0;15265.66;15451.31;4616730000.0;NASDAQ Composite;16128.096333333331;15636.763333333332
23.04.2024;15525.55;15730.35;15510.59;15696.64;4951670000.0;NASDAQ Composite;16117.342;15649.688222222225
24.04.2024;15805.6;15839.0;15634.44;15712.75;4735870000.0;NASDAQ Composite;16098.912333333334;15660.563666666669
25.04.2024;15375.26;15644.51;15343.91;15611.76;4743640000.0;NASDAQ Composite;16080.045333333333;15670.010333333335
26.04.2024;15821.34;15981.0;15770.72;15927.9;4694400000.0;NASDAQ Composite;16073.357666666669;15682.387888888888
29.04.2024;16007.0;16021.49;15885.89;15983.08;4972520000.0;NASDAQ Composite;16073.687999999998;15694.368666666669
30.04.2024;15920.89;15979.36;15655.67;15657.82;5229400000.0;NASDAQ Composite;16058.833666666667;15701.642
01.05.2024;15646.09;15926.22;15557.64;15605.48;5277790000.0;NASDAQ Composite;16040.123333333333;15710.836888888887
02.05.2024;15758.11;15862.79;15604.73;15840.96;4901610000.0;NASDAQ Composite;16022.508333333333;15720.582333333336
03.05.2024;16147.48;16204.71;16068.34;16156.33;4887310000.0;NASDAQ Composite;16014.324666666666;15733.508555555556
06.05.2024;16208.54;16350.08;16197.86;16349.25;4460130000.0;NASDAQ Composite;16011.672333333332;15747.671666666665
07.05.2024;16358.34;16397.39;16303.84;16332.56;5041870000.0;NASDAQ Composite;16009.942000000001;15761.37588888889
08.05.2024;16226.07;16341.65;16226.07;16302.76;4530190000.0;NASDAQ Composite;16009.510666666667;15774.793888888888
09.05.2024;16323.74;16362.79;16241.98;16346.26;4505120000.0;NASDAQ Composite;16007.735333333334;15789.626222222223
10.05.2024;16389.02;16437.39;16293.52;16340.87;4402110000.0;NASDAQ Composite;16006.449;15807.125444444442
13.05.2024;16400.31;16407.05;16334.86;16388.24;4452750000.0;NASDAQ Composite;16006.162666666667;15827.081333333332
14.05.2024;16391.16;16526.27;16386.43;16511.18;7270240000.0;NASDAQ Composite;16015.187;15849.313333333334
15.05.2024;16601.14;16749.74;16544.09;16742.39;8538990000.0;NASDAQ Composite;16030.684666666668;15873.961333333333
