user_workdays_count;recs_paid;recs_shown;conversion;user_work_years
82.0;0.0;75;0.0;0.2
1630.0;0.0;8;0.0;4.5
1747.0;0.0;2;0.0;4.8
584.0;0.0;135;0.0;1.6
1747.0;0.0;12;0.0;4.8
1280.0;0.0;6;0.0;3.5
654.0;0.0;94;0.0;1.8
214.0;0.0;8;0.0;0.6
704.0;0.0;7;0.0;1.9
710.0;0.0;122;0.0;1.9
269.0;0.0;91;0.0;0.7
1286.0;0.0;83;0.0;3.5
1745.0;0.0;129;0.0;4.8
494.0;94.0;575;0.163;1.4
1746.0;0.0;41;0.0;4.8
1746.0;0.0;25;0.0;4.8
1182.0;0.0;44;0.0;3.2
278.0;0.0;188;0.0;0.8
301.0;0.0;48;0.0;0.8
545.0;0.0;11;0.0;1.5
243.0;0.0;1;0.0;0.7
1288.0;0.0;4;0.0;3.5
238.0;0.0;95;0.0;0.7
153.0;0.0;85;0.0;0.4
992.0;0.0;77;0.0;2.7
150.0;0.0;1;0.0;0.4
151.0;0.0;5;0.0;0.4
1516.0;0.0;5;0.0;4.2
1745.0;0.0;7;0.0;4.8
1340.0;0.0;100;0.0;3.7
1737.0;0.0;6;0.0;4.8
769.0;0.0;70;0.0;2.1
63.0;0.0;5;0.0;0.2
483.0;0.0;93;0.0;1.3
1738.0;0.0;2;0.0;4.8
1746.0;3.0;113;0.027;4.8
224.0;0.0;127;0.0;0.6
1521.0;1.0;24;0.042;4.2
1102.0;0.0;54;0.0;3.0
180.0;0.0;1;0.0;0.5
41.0;0.0;102;0.0;0.1
139.0;0.0;156;0.0;0.4
82.0;0.0;65;0.0;0.2
187.0;0.0;1;0.0;0.5
608.0;0.0;21;0.0;1.7
1501.0;123.0;733;0.168;4.1
613.0;0.0;3;0.0;1.7
1746.0;0.0;23;0.0;4.8
1395.0;0.0;76;0.0;3.8
122.0;0.0;20;0.0;0.3
57.0;0.0;28;0.0;0.2
102.0;0.0;172;0.0;0.3
970.0;0.0;175;0.0;2.7
