;fabric_width(m);slice_tuple;total_slice;waste;qty;total_qty;%_of_total;%_of_valuable;%_of_waste
441;2.4;0.5|0.6|;1.1;1.2999999999999998;11;2694;0.004083147735708983;0.45833333333333337;0.5416666666666666
490;2.4;1.8;1.8;0.5999999999999999;11;2694;0.004083147735708983;0.75;0.24999999999999994
437;2.4;0.5|0.5|0.6|0.6|;2.2;0.19999999999999973;10;2694;0.003711952487008166;0.9166666666666667;0.08333333333333323
492;2.4;2.2;2.2;0.19999999999999973;10;2694;0.003711952487008166;0.9166666666666667;0.08333333333333323
460;2.4;0.6|1.0|;1.6;0.7999999999999998;9;2694;0.0033407572383073497;0.6666666666666667;0.33333333333333326
462;2.4;0.6|1.4|;2.0;0.3999999999999999;9;2694;0.0033407572383073497;0.8333333333333334;0.16666666666666663
468;2.4;0.7|1.0|;1.7;0.7;7;2694;0.0025983667409057165;0.7083333333333334;0.2916666666666667
491;2.4;2.0;2.0;0.3999999999999999;7;2694;0.0025983667409057165;0.8333333333333334;0.16666666666666663
429;2.4;0.4|1.4|;1.7999999999999998;0.6000000000000001;6;2694;0.0022271714922048997;0.75;0.25000000000000006
451;2.4;0.65;0.65;1.75;6;2694;0.0022271714922048997;0.27083333333333337;0.7291666666666667
420;2.4;0.4|0.5|1.0;1.9;0.5;5;2694;0.001855976243504083;0.7916666666666666;0.20833333333333334
458;2.4;0.6|0.8|;1.4;1.0;5;2694;0.001855976243504083;0.5833333333333334;0.4166666666666667
487;2.4;1.63;1.63;0.77;5;2694;0.001855976243504083;0.6791666666666667;0.32083333333333336
438;2.4;0.5|0.5|0.7|0.7|;2.4;0.0;4;2694;0.0014847809948032665;1.0;0.0
459;2.4;0.6|0.9|;1.5;0.8999999999999999;4;2694;0.0014847809948032665;0.625;0.375
416;2.4;0.4|0.4|0.6|0.6|;2.0;0.3999999999999999;3;2694;0.0011135857461024498;0.8333333333333334;0.16666666666666663
424;2.4;0.4|0.6|;1.0;1.4;3;2694;0.0011135857461024498;0.4166666666666667;0.5833333333333334
439;2.4;0.5|0.5|;1.0;1.4;3;2694;0.0011135857461024498;0.4166666666666667;0.5833333333333334
454;2.4;0.6|0.6|;1.2;1.2;3;2694;0.0011135857461024498;0.5;0.5
400;2.4;0.35;0.35;2.05;2;2694;0.0007423904974016332;0.14583333333333334;0.8541666666666666
407;2.4;0.45|0.55|;1.0;1.4;2;2694;0.0007423904974016332;0.4166666666666667;0.5833333333333334
415;2.4;0.4|0.4|0.5;1.3;1.0999999999999999;2;2694;0.0007423904974016332;0.5416666666666667;0.4583333333333333
425;2.4;0.4|0.75|;1.15;1.25;2;2694;0.0007423904974016332;0.47916666666666663;0.5208333333333334
427;2.4;0.4|0.8|;1.2000000000000002;1.1999999999999997;2;2694;0.0007423904974016332;0.5000000000000001;0.4999999999999999
443;2.4;0.5|0.8|;1.3;1.0999999999999999;2;2694;0.0007423904974016332;0.5416666666666667;0.4583333333333333
444;2.4;0.5|1.0|;1.5;0.8999999999999999;2;2694;0.0007423904974016332;0.625;0.375
453;2.4;0.6|0.6|0.6;1.7999999999999998;0.6000000000000001;2;2694;0.0007423904974016332;0.75;0.25000000000000006
470;2.4;0.7|1.4|;2.0999999999999996;0.30000000000000027;2;2694;0.0007423904974016332;0.8749999999999999;0.1250000000000001
471;2.4;0.7|1.6|;2.3;0.10000000000000009;2;2694;0.0007423904974016332;0.9583333333333333;0.041666666666666706
478;2.4;0.9|1.4|;2.3;0.10000000000000009;2;2694;0.0007423904974016332;0.9583333333333333;0.041666666666666706
483;2.4;1.1;1.1;1.2999999999999998;2;2694;0.0007423904974016332;0.45833333333333337;0.5416666666666666
396;2.4;0.35|0.45|;0.8;1.5999999999999999;1;2694;0.0003711952487008166;0.33333333333333337;0.6666666666666666
397;2.4;0.35|0.55|0.6|0.7|;2.2;0.19999999999999973;1;2694;0.0003711952487008166;0.9166666666666667;0.08333333333333323
398;2.4;0.35|0.55|;0.9;1.5;1;2694;0.0003711952487008166;0.375;0.625
399;2.4;0.35|0.75|;1.1;1.2999999999999998;1;2694;0.0003711952487008166;0.45833333333333337;0.5416666666666666
401;2.4;0.3|0.5|0.9;1.7000000000000002;0.6999999999999997;1;2694;0.0003711952487008166;0.7083333333333335;0.2916666666666666
402;2.4;0.3|0.5|;0.8;1.5999999999999999;1;2694;0.0003711952487008166;0.33333333333333337;0.6666666666666666
403;2.4;0.3|0.65|;0.95;1.45;1;2694;0.0003711952487008166;0.3958333333333333;0.6041666666666666
404;2.4;0.3|0.6|;0.8999999999999999;1.5;1;2694;0.0003711952487008166;0.375;0.625
405;2.4;0.3|0.9|;1.2;1.2;1;2694;0.0003711952487008166;0.5;0.5
406;2.4;0.3;0.3;2.1;1;2694;0.0003711952487008166;0.125;0.8750000000000001
408;2.4;0.45|0.5|;0.95;1.45;1;2694;0.0003711952487008166;0.3958333333333333;0.6041666666666666
409;2.4;0.45|0.75|;1.2;1.2;1;2694;0.0003711952487008166;0.5;0.5
410;2.4;0.45;0.45;1.95;1;2694;0.0003711952487008166;0.1875;0.8125
411;2.4;0.4|0.45|0.55;1.4000000000000001;0.9999999999999998;1;2694;0.0003711952487008166;0.5833333333333334;0.4166666666666666
412;2.4;0.4|0.45|0.5|0.6|;1.9500000000000002;0.44999999999999973;1;2694;0.0003711952487008166;0.8125000000000001;0.1874999999999999
413;2.4;0.4|0.45|0.7;1.55;0.8499999999999999;1;2694;0.0003711952487008166;0.6458333333333334;0.35416666666666663
414;2.4;0.4|0.4|0.4|0.4|;1.6;0.7999999999999998;1;2694;0.0003711952487008166;0.6666666666666667;0.33333333333333326
417;2.4;0.4|0.4|;0.8;1.5999999999999999;1;2694;0.0003711952487008166;0.33333333333333337;0.6666666666666666
418;2.4;0.4|0.5|0.5;1.4;1.0;1;2694;0.0003711952487008166;0.5833333333333334;0.4166666666666667
419;2.4;0.4|0.5|0.9;1.8;0.5999999999999999;1;2694;0.0003711952487008166;0.75;0.24999999999999994
422;2.4;0.4|0.65|;1.05;1.3499999999999999;1;2694;0.0003711952487008166;0.43750000000000006;0.5625
426;2.4;0.4|0.7|;1.1;1.2999999999999998;1;2694;0.0003711952487008166;0.45833333333333337;0.5416666666666666
432;2.4;0.52|0.65|;1.17;1.23;1;2694;0.0003711952487008166;0.4875;0.5125000000000001
